location_id,short_name,lead_hours,value_old,value_new,absolute_difference,tolerance,within_tolerance
binh_dinh_grid_013,10v,198,2.7196666300296783,2.7196055948734283,6.103515625e-05,0.001,True
binh_dinh_grid_014,10v,198,1.4620372354984283,1.4620372354984283,0.0,0.001,True
binh_dinh_grid_016,10v,198,0.34204211831092834,0.34204211831092834,0.0,0.001,True
binh_dinh_grid_010,2d,198,296.5801086425781,296.580078125,3.0517578125e-05,0.001,True
binh_dinh_grid_011,2d,198,297.6485290527344,297.6485595703125,3.0517578125e-05,0.001,True
binh_dinh_grid_013,2d,198,295.9760437011719,295.97607421875,3.0517578125e-05,0.001,True
binh_dinh_grid_014,2d,198,296.0926818847656,296.0926513671875,3.0517578125e-05,0.001,True
binh_dinh_grid_016,2d,198,295.7594299316406,295.7593994140625,3.0517578125e-05,0.001,True
binh_dinh_grid_010,2t,198,302.5033264160156,302.5032958984375,3.0517578125e-05,0.001,True
binh_dinh_grid_011,2t,198,301.9982604980469,301.9981689453125,9.1552734375e-05,0.001,True
binh_dinh_grid_013,2t,198,299.8027648925781,299.8028564453125,9.1552734375e-05,0.001,True
binh_dinh_grid_014,2t,198,302.3548889160156,302.3548583984375,3.0517578125e-05,0.001,True
binh_dinh_grid_016,2t,198,299.3514099121094,299.3514404296875,3.0517578125e-05,0.001,True
binh_dinh_grid_010,sp,198,99536.5625,99536.578125,0.015625,0.2,True
binh_dinh_grid_011,sp,198,99407.5,99407.453125,0.046875,0.2,True
binh_dinh_grid_013,sp,198,97405.8125,97405.828125,0.015625,0.2,True
binh_dinh_grid_014,sp,198,99508.8125,99508.828125,0.015625,0.2,True
binh_dinh_grid_016,sp,198,97218.125,97218.078125,0.046875,0.2,True
binh_dinh_grid_010,tcc,198,99.99554443359375,99.99559020996094,4.57763671875e-05,0.005,True
binh_dinh_grid_011,tcc,198,99.98202514648438,99.98204040527344,1.52587890625e-05,0.005,True
binh_dinh_grid_013,tcc,198,99.96499633789062,99.96495056152344,4.57763671875e-05,0.005,True
binh_dinh_grid_014,tcc,198,99.72848510742188,99.72850036621094,1.52587890625e-05,0.005,True
binh_dinh_grid_016,tcc,198,99.93057250976562,99.93052673339844,4.57763671875e-05,0.005,True
binh_dinh_grid_010,ssr,198,105634472.0,105634472.0,0.0,2048.0,True
binh_dinh_grid_011,ssr,198,138553000.0,138553000.0,0.0,2048.0,True
binh_dinh_grid_013,ssr,198,109168296.0,109168296.0,0.0,2048.0,True
binh_dinh_grid_014,ssr,198,142965416.0,142965416.0,0.0,2048.0,True
binh_dinh_grid_016,ssr,198,116000424.0,116000424.0,0.0,2048.0,True
binh_dinh_grid_010,tp,198,22.913002014160156,22.913004875183105,2.86102294921875e-06,0.0001,True
binh_dinh_grid_011,tp,198,20.290931701660156,20.290934562683105,2.86102294921875e-06,0.0001,True
binh_dinh_grid_013,tp,198,29.29859161376953,29.29859447479248,2.86102294921875e-06,0.0001,True
binh_dinh_grid_014,tp,198,18.062833786010742,18.062830924987793,2.86102294921875e-06,0.0001,True
binh_dinh_grid_016,tp,198,33.02979850769043,33.02979564666748,2.86102294921875e-06,0.0001,True
binh_dinh_grid_010,10u,204,3.865278482437134,3.865323781967163,4.5299530029296875e-05,0.001,True
binh_dinh_grid_011,10u,204,6.127302408218384,6.127286672592163,1.5735626220703125e-05,0.001,True
binh_dinh_grid_013,10u,204,5.796064615249634,5.796109914779663,4.5299530029296875e-05,0.001,True
binh_dinh_grid_014,10u,204,5.102155923843384,5.102140188217163,1.5735626220703125e-05,0.001,True
binh_dinh_grid_016,10u,204,5.115827798843384,5.115812063217163,1.5735626220703125e-05,0.001,True
binh_dinh_grid_010,10v,204,2.360615611076355,2.3605849742889404,3.063678741455078e-05,0.001,True
binh_dinh_grid_011,10v,204,2.894551157951355,2.8945205211639404,3.063678741455078e-05,0.001,True
binh_dinh_grid_013,10v,204,3.033650279045105,3.0336806774139404,3.039836883544922e-05,0.001,True
binh_dinh_grid_014,10v,204,1.444599986076355,1.4445693492889404,3.063678741455078e-05,0.001,True
binh_dinh_grid_016,10v,204,1.748310923576355,1.7482802867889404,3.063678741455078e-05,0.001,True
binh_dinh_grid_010,2d,204,297.1330871582031,297.13311767578125,3.0517578125e-05,0.001,True
binh_dinh_grid_011,2d,204,297.09051513671875,297.09051513671875,0.0,0.001,True
